Set_value	Mon_value	Metex	Std
745.800000	745.799980	0.001400	0.000529
745.900000	745.899960	0.001280	0.000187
746.000000	745.999970	0.002070	0.001106
746.100000	746.099980	0.001440	0.000430
746.200000	746.199990	0.001350	0.000207
746.300000	746.299960	0.001230	0.000082
746.400000	746.399980	0.002150	0.001449
746.500000	746.499980	0.001280	0.000193
746.600000	746.599950	0.002260	0.001094
746.700000	746.699980	0.001590	0.000357
746.800000	746.799980	0.001280	0.000148
746.900000	746.899980	0.001270	0.000106
747.000000	746.999960	0.001670	0.000660
747.100000	747.099960	0.004400	0.001566
747.200000	747.199980	0.001580	0.000487
747.300000	747.299970	0.001750	0.000968
747.400000	747.399970	0.001410	0.000375
747.500000	747.499990	0.001390	0.000431
747.600000	747.599950	0.001260	0.000107
747.700000	747.699980	0.001740	0.001032
747.800000	747.799970	0.002530	0.001379
747.900000	747.899990	0.001770	0.000595
748.000000	747.999980	0.001380	0.000140
748.100000	748.099970	0.002010	0.001265
748.200000	748.200010	0.002250	0.000677
748.300000	748.299960	0.001660	0.000617
748.400000	748.399970	0.001280	0.000123
748.500000	748.499960	0.001660	0.001006
748.600000	748.599980	0.001680	0.000843
748.700000	748.699980	0.001420	0.000365
748.800000	748.799960	0.001210	0.000032
748.900000	748.899970	0.001280	0.000079
749.000000	748.999990	0.001730	0.000627
749.100000	749.099960	0.002350	0.001077
749.200000	749.199970	0.002400	0.001284
749.300000	749.299980	0.001450	0.000327
749.400000	749.399980	0.001500	0.000535
749.500000	749.499960	0.001560	0.000375
749.600000	749.599960	0.001750	0.000923
